soc_code,occupation_title,Oral Comprehension,Written Comprehension,Oral Expression,Written Expression,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Mathematical Reasoning,Number Facility,Memorization,Speed of Closure,Flexibility of Closure,Perceptual Speed,Spatial Orientation,Visualization,Selective Attention,Time Sharing
17-3022,Civil engineering technologists and technicians,3.88,3.88,3.75,3.62,3.0,3.0,3.75,3.88,3.38,3.38,3.25,3.88,3.5,2.25,3.0,3.12,2.88,2.0,3.62,3.0,2.62
17-2051,Civil engineers,4.0,3.94,4.0,3.94,3.62,3.25,4.0,4.06,4.0,4.0,3.88,3.94,3.68,2.75,2.81,3.38,3.25,1.81,3.82,3.06,2.82
13-1030,"Claims adjusters, appraisers, examiners, and investigators",4.03,3.9,4.0,3.62,2.6,2.56,3.72,3.6,3.5,3.31,3.15,2.84,2.91,2.18,2.56,2.88,2.66,1.65,2.47,3.12,2.38
29-2010,Clinical laboratory technologists and technicians,3.74,3.67,3.64,3.14,2.72,2.74,3.8,3.39,3.33,3.7,3.2,2.91,2.86,2.58,2.73,3.25,3.09,1.0,2.92,3.15,2.7
27-2022,Coaches and scouts,4.0,3.62,4.5,3.75,3.62,3.75,4.0,4.0,3.88,3.75,3.5,2.38,2.25,2.88,2.88,2.88,2.5,1.88,3.5,2.88,2.88
21-1094,Community health workers,4.25,3.88,4.12,3.75,2.88,3.0,3.75,3.62,3.5,3.25,3.25,2.38,2.12,2.5,2.62,2.62,2.38,1.75,2.5,2.88,3.0
11-3111,Compensation and benefits managers,4.0,4.0,4.0,4.0,3.0,3.12,3.62,3.38,3.25,3.0,3.0,3.0,3.0,2.12,2.25,2.5,2.38,1.0,2.0,2.75,2.12
13-1141,"Compensation, benefits, and job analysis specialists",3.88,3.88,4.0,3.25,3.0,3.0,3.5,3.75,3.38,3.25,3.12,3.0,2.88,2.38,2.62,3.12,2.75,1.0,2.0,3.0,2.12
13-1041,Compliance officers,4.02,4.08,4.0,3.92,3.08,2.9,3.9,3.85,3.96,3.69,3.33,2.73,2.73,2.7,3.0,3.35,3.17,1.79,2.75,3.06,2.75
11-3021,Computer and information systems managers,4.0,4.0,4.0,3.75,3.38,3.25,4.0,4.0,4.0,3.75,3.25,3.0,3.12,2.62,2.75,3.0,2.75,1.12,3.0,2.88,2.62
17-2061,Computer hardware engineers,4.0,4.0,3.88,3.5,3.12,3.25,4.0,4.0,4.0,3.75,3.25,3.0,2.75,2.5,2.0,3.0,2.5,1.0,3.0,3.0,2.0
39-6012,Concierges,4.0,3.38,4.12,3.0,3.25,3.0,3.62,3.62,3.12,3.12,3.0,2.12,2.12,2.75,2.38,2.62,2.38,1.62,2.12,2.75,2.62
19-1030,Conservation scientists and foresters,4.02,3.98,4.0,3.75,3.08,3.35,3.79,3.84,3.71,3.52,3.44,2.9,2.71,2.44,2.78,3.08,2.62,2.57,2.82,3.02,2.84
47-4011,Construction and building inspectors,3.88,3.88,3.88,3.62,2.88,2.88,4.12,4.0,4.12,3.38,3.25,3.0,2.88,2.5,2.62,3.25,3.25,2.0,3.25,3.0,2.75
47-2070,Construction equipment operators,3.08,2.5,3.04,2.09,2.0,1.96,3.5,3.04,2.88,2.96,2.75,2.04,2.04,1.96,2.0,2.58,2.92,2.83,3.0,3.04,2.88
11-9021,Construction managers,3.88,3.88,3.88,3.5,3.12,3.0,4.12,4.0,3.5,4.0,3.25,3.12,3.12,2.5,3.0,3.12,3.0,2.0,3.5,3.0,2.88
35-2010,Cooks,3.37,2.95,3.05,2.65,2.57,2.6,3.15,2.87,2.78,3.12,2.8,2.25,2.4,2.2,2.1,2.38,2.6,1.1,2.52,3.0,2.8
33-3010,Correctional officers and bailiffs,3.81,3.06,3.88,2.94,2.12,2.0,3.88,3.38,3.38,3.0,2.56,1.62,1.88,2.12,2.56,2.75,2.56,1.75,2.06,3.5,2.81
13-1051,Cost estimators,4.0,3.88,4.0,3.62,3.0,2.88,3.12,3.88,4.0,3.5,3.25,4.0,4.0,2.0,2.75,2.88,2.88,1.12,2.75,3.0,2.12
27-3092,Court reporters and simultaneous captioners,4.25,4.0,4.25,3.88,2.88,3.0,3.62,3.12,3.12,3.75,3.0,1.88,1.88,2.75,3.0,2.88,3.0,1.0,2.5,3.38,3.0
13-2071,Credit counselors,4.19,4.0,3.94,3.75,3.12,2.82,3.82,3.88,3.75,3.31,3.0,3.25,3.25,2.38,2.69,2.81,2.87,1.0,2.25,3.06,2.68
43-4051,Customer service representatives,4.19,3.56,4.12,3.56,2.75,2.75,3.56,3.5,3.5,3.31,3.0,2.5,2.32,2.5,2.56,3.0,2.37,1.0,2.0,3.06,2.68
27-2030,Dancers and choreographers,3.81,3.32,3.69,3.0,3.5,3.62,3.44,3.32,3.06,3.25,3.06,1.82,1.82,3.0,2.25,2.62,2.68,2.32,3.25,2.94,2.69
51-9080,Dental and ophthalmic laboratory technicians and medical appliance technicians,3.29,3.12,3.21,2.92,2.58,2.54,3.42,3.42,3.17,3.33,3.0,2.42,2.33,2.13,2.37,2.92,2.96,1.17,3.46,3.08,2.5
31-9091,Dental assistants,3.88,3.38,3.75,3.25,2.88,2.62,3.12,3.25,3.25,3.12,3.0,2.12,2.25,2.0,2.12,2.38,2.75,1.12,2.25,3.0,2.62
29-1020,Dentists,4.0,3.82,4.03,3.47,3.18,3.09,4.06,3.97,3.94,3.62,3.38,2.75,2.66,2.6,2.56,3.13,2.84,1.28,3.25,3.47,2.88
43-9031,Desktop publishers,3.62,3.75,3.38,3.5,3.75,3.75,3.5,3.5,3.25,4.0,3.75,2.38,2.5,2.5,2.75,3.38,3.62,1.62,4.0,3.38,2.5
29-2032,Diagnostic medical sonographers,4.0,3.88,3.88,3.75,3.0,3.0,3.88,3.38,3.5,3.12,3.12,2.25,2.12,2.38,3.0,3.38,3.0,1.0,3.0,3.0,2.88
49-3031,Diesel service technicians and mechanics,3.25,2.75,3.12,2.5,2.62,2.62,3.62,3.5,3.38,3.25,3.0,2.0,2.12,2.12,2.5,3.12,3.0,2.0,3.12,2.88,2.88
29-1031,Dietitians and nutritionists,4.0,4.0,4.0,4.0,3.25,3.62,4.0,4.0,3.5,3.88,3.75,2.88,3.0,2.88,2.12,2.88,2.88,1.0,2.62,3.0,2.88
17-3010,Drafters,3.6,3.56,3.52,3.37,3.02,3.06,3.33,3.25,3.21,3.21,3.04,3.14,2.81,2.21,2.37,3.04,2.77,1.35,3.4,3.04,2.33
47-2080,"Drywall installers, ceiling tile installers, and tapers",3.06,2.69,3.06,2.19,2.31,2.12,2.88,2.88,2.82,2.94,2.75,1.94,1.87,2.0,2.0,2.37,2.56,2.12,2.82,2.87,2.38
19-3011,Economists,3.75,4.12,3.82,4.0,3.44,3.19,3.62,3.88,3.94,3.12,3.25,3.94,3.5,3.0,2.38,2.94,2.69,1.0,2.63,3.13,2.06
27-3041,Editors,4.0,4.88,4.0,4.62,3.88,3.5,3.38,3.5,3.38,3.38,3.62,2.12,2.0,2.62,2.75,3.12,2.88,1.0,2.88,3.0,2.5
17-3023,Electrical and electronic engineering technologists and technicians,3.68,3.62,3.5,3.18,3.06,3.0,4.0,3.75,3.62,3.38,3.18,3.0,2.5,2.56,2.75,3.12,3.06,1.31,3.12,3.12,2.68
17-2070,Electrical and electronics engineers,4.0,3.97,3.81,3.72,3.38,3.19,4.0,4.0,3.84,3.85,3.63,3.35,3.22,2.53,2.31,3.0,2.78,1.12,3.12,3.06,2.72
49-9051,Electrical power-line installers and repairers,3.88,3.0,3.38,3.0,2.75,2.62,4.0,3.62,3.5,3.62,3.12,2.25,2.25,2.25,2.5,3.0,3.0,2.62,3.0,3.0,2.88
47-2111,Electricians,3.62,3.12,3.25,2.75,3.0,2.75,4.0,3.75,3.75,3.5,3.12,3.0,3.0,2.62,2.75,3.25,3.12,2.12,3.38,3.0,2.75
17-3024,Electro-mechanical and mechatronics technologists and technicians,3.62,3.62,3.5,3.12,2.87,2.81,3.82,3.87,3.81,3.75,3.12,2.88,2.82,2.75,2.88,3.25,3.38,1.88,3.44,3.5,2.82
11-9032,"Elementary, middle, and high school principals",4.38,4.25,4.38,4.25,3.62,3.75,4.12,4.25,4.12,3.88,3.88,3.12,2.88,2.88,2.88,3.12,2.75,1.0,2.75,3.0,3.0
47-4021,Elevator and escalator installers and repairers,3.75,3.38,3.63,3.13,2.75,2.88,3.88,3.75,3.5,3.25,3.0,2.25,2.0,2.38,2.5,3.0,2.75,2.13,3.38,3.13,2.75
11-9161,Emergency management directors,4.12,4.0,4.12,4.0,3.88,3.75,4.0,4.0,4.0,3.75,3.62,2.75,2.75,2.88,3.12,3.0,3.0,2.0,3.12,3.12,3.0
29-2040,EMTs and paramedics,4.0,3.5,4.0,3.25,3.0,3.0,4.12,4.0,4.0,3.62,3.25,2.62,2.5,3.0,3.12,3.25,3.25,2.62,3.0,3.25,3.12
11-9072,Entertainment and recreation managers,4.0,3.62,4.0,3.5,2.88,2.75,3.88,4.0,3.88,3.38,3.25,3.0,3.12,2.88,3.0,3.12,3.12,1.25,2.38,3.25,3.12
17-3025,Environmental engineering technologists and technicians,3.88,4.0,3.88,3.12,3.0,3.0,3.88,4.0,4.0,3.88,3.62,3.0,3.0,2.75,2.75,3.0,3.0,2.0,2.88,3.12,2.88
17-2081,Environmental engineers,4.12,4.25,4.06,4.0,3.56,3.5,4.12,4.06,3.94,3.69,3.5,3.69,3.5,2.75,2.81,3.38,3.0,1.31,3.56,3.18,2.62
19-4042,Environmental science and protection technicians,3.75,3.94,3.56,3.38,2.69,2.69,3.44,3.38,3.5,3.63,3.38,2.81,2.81,2.31,2.32,3.25,2.68,1.62,2.82,3.0,2.44
19-2041,Environmental scientists and specialists,4.03,4.0,3.94,4.0,3.18,3.16,3.84,3.97,3.91,3.56,3.38,3.25,3.16,2.5,2.65,3.12,2.72,1.53,2.78,3.03,2.56
19-1041,Epidemiologists,4.25,4.25,4.12,4.12,3.75,3.62,4.38,4.25,4.25,3.62,3.88,3.5,3.25,3.0,3.12,3.62,3.12,1.0,3.0,3.38,2.75
29-1128,Exercise physiologists,4.12,4.0,4.12,3.88,3.38,3.25,3.88,4.0,3.88,3.5,3.5,2.88,2.88,2.62,2.38,2.62,2.62,1.12,2.75,3.0,2.5
11-9013,"Farmers, ranchers, and other agricultural managers",4.0,3.63,4.0,3.67,3.09,3.04,3.92,3.79,3.75,3.54,3.37,2.71,2.96,2.38,2.5,3.04,2.71,2.0,2.88,3.0,2.88
27-1022,Fashion designers,4.0,3.88,4.13,3.63,3.88,4.0,3.75,3.88,3.88,3.38,3.5,2.25,2.38,2.25,2.25,3.0,3.13,1.38,3.63,3.25,2.75
27-4030,Film and video editors and camera operators,3.62,3.32,3.56,3.06,3.31,3.38,3.44,3.32,3.25,3.44,3.13,2.18,2.18,2.25,2.62,3.0,2.94,1.75,3.56,3.31,2.82
13-2061,Financial examiners,4.0,4.25,4.12,4.0,3.12,3.25,4.12,4.12,4.0,3.75,3.88,3.62,3.38,2.88,3.12,3.25,3.12,1.0,2.5,3.12,2.75
11-3031,Financial managers,4.0,4.0,4.06,3.88,3.25,3.06,4.0,4.06,4.0,3.68,3.38,3.75,3.44,2.88,2.75,2.94,2.94,1.0,2.31,2.82,2.75
33-2020,Fire inspectors,3.97,3.69,3.94,3.41,3.06,3.06,4.16,3.81,3.88,3.56,3.41,2.44,2.53,2.28,3.03,3.69,3.28,2.22,3.0,3.06,2.72
33-2011,Firefighters,3.88,3.31,3.82,3.0,3.0,2.88,4.0,3.68,3.44,3.25,3.06,2.06,2.12,2.62,3.0,3.5,3.25,3.25,3.32,3.44,3.25
39-9031,Fitness trainers and instructors,3.25,2.75,3.75,2.88,2.88,3.0,3.12,3.0,3.0,3.0,2.88,1.62,1.62,2.25,2.0,2.25,2.25,1.62,2.38,3.0,2.62
53-2031,Flight attendants,4.12,2.88,4.12,2.75,2.62,2.62,3.88,3.75,3.25,3.25,2.75,1.88,2.0,2.0,2.5,2.88,3.0,1.38,2.0,3.0,3.0
